ID,min_year,max_year
885,1970,1981
886,1982,1994
887,1995,2022
888,1970,1981
889,1982,1994
890,1995,2022
893,1970,1994
894,1970,1994
896,1970,1994
899,1971,1994
900,1972,1990
915,2010,2011
916,2010,2011
920,1973,1994
925,2004,2010
926,2004,2010
927,2009,2010
928,2004,2010
929,2005,2010
930,2005,2010
931,2009,2010
932,2004,2010
933,2008,2010
934,2004,2010
935,2008,2010
936,2008,2010
938,2004,2010
939,2004,2010
940,2009,2010
941,2004,2010
942,2004,2010
943,2005,2010
944,2004,2010
945,2005,2010
946,2009,2010
947,2004,2010
948,2006,2010
949,2005,2009
950,2004,2010
951,2007,2010
952,2004,2010
953,2008,2010
954,2004,2010
955,2007,2010
956,2004,2010
957,2009,2010
958,2005,2010
959,2004,2010
995,1970,1994
996,1971,1994
997,1970,1994
998,1971,1994
999,1980,1994
1002,1970,1994
1003,1970,1994
1005,1995,2022
1006,1970,1981
1007,1982,1994
1008,1995,2022
1010,1985,1989
1012,1984,1994
1013,1984,1993
1014,1970,1994
1015,1970,1994
1016,1970,1994
1019,1971,2016
1022,1970,1994
1030,1970,1994
1032,1970,1994
1035,1972,2016
1064,2006,2007
1067,1971,1994
1070,1974,1994
1095,1970,1994
1098,1974,1994
1106,1978,1983
1108,1970,1992
1109,1970,1993
1113,1970,1981
1114,1982,1994
1115,1995,2022
1129,1998,2001
1145,1973,1994
1148,1973,1994
1149,1972,1994
1150,1973,1994
1151,1977,1994
1152,1982,1994
1153,1982,1987
1155,1976,2013
1177,1989,1994
1178,1982,1994
1180,1983,1987
1181,1983,1987
1185,1985,1987
1189,2012,2014
1190,2012,2014
1191,2012,2014
1192,2012,2013
1194,1986,1991
1195,1995,2022
1196,1995,2022
1203,1972,1994
1205,1986,1993
1206,1971,2016
1207,1970,1981
1208,1982,1994
1209,1995,2022
1210,1970,1981
1211,1982,1994
1212,1995,2022
1215,2002,2006
1216,2002,2006
1222,1973,1994
1227,1979,1987
1243,2004,2006
1249,1978,1994
1251,1978,1994
1254,1973,2016
1255,1995,2019
1259,1970,1994
1260,1970,1994
1262,1972,1994
1263,1971,1994
1264,1970,1994
1265,1971,1994
1266,1972,1994
1267,1970,1994
1268,1970,1994
1270,1970,1994
1271,1971,2016
1273,1995,2022
1287,1986,1993
1292,1970,1994
1295,1970,1994
1296,1970,1994
1297,1973,1994
1298,1970,1994
1299,1970,1994
1300,1970,1994
1301,1970,1994
1302,1973,1994
1304,1995,2022
1305,1995,2022
1328,1974,2016
1334,1983,1994
1336,1985,1994
1337,1983,1994
1341,1974,2016
1342,1995,2022
1347,2008,2009
1348,2008,2010
1350,2004,2005
1352,2009,2010
1354,2004,2010
1355,2005,2006
1362,2004,2010
1363,2004,2010
1364,2009,2010
1365,2004,2010
1366,2005,2010
1367,2005,2010
1368,2009,2010
1369,2004,2010
1370,2008,2010
1371,2004,2010
1372,2008,2010
1373,2008,2010
1375,2004,2010
1376,2004,2010
