"year","CI_high","CI_low","LPI_final","n_points"
"1997",1.18509457255104,1.02444757573794,1.10160339536873,15
"1998",1.17372794131141,1.0129094374433,1.09024672954571,15
"1999",1.15886319208926,0.997202178313725,1.07507421563019,15
"2000",1.14552095006037,0.982066092835448,1.06058183210498,15
"2001",1.13589835613607,0.970332535710678,1.04964345932942,15
"2002",1.12890544178503,0.961546711224838,1.04164404882955,15
"2003",1.12271991866823,0.953879235154674,1.03541940640944,15
"2004",1.12467392333707,0.951817059587196,1.03548110712113,15
"2005",1.1303556923131,0.954481316368647,1.03915045929622,15
"2006",1.13475561623011,0.955275487524414,1.04184109597544,15
"2007",1.13272224380888,0.9509247645327,1.03836828368366,15
"2008",1.12449903019608,0.940813091402097,1.02918644345812,15
"2009",1.1140674226363,0.928993199085455,1.01772989825577,15
"2010",1.10463517723605,0.917799638950169,1.00697282568409,15
"2011",1.09545752766317,0.908185544207508,0.997429116656791,15
"2012",1.08916725839321,0.899649510204078,0.990014459959933,15
"2013",1.08734637428486,0.895335626551164,0.986131117723782,15
"2014",1.08835455733164,0.89422525291526,0.985818670564703,15
"2015",1.09024283649087,0.894401610460898,0.986906370301161,15
"2016",1.08793435884642,0.890772282641208,0.983814408377974,15
"2017",1.07839681753251,0.88115021693762,0.974523883302686,15
"2018",1.06558385939873,0.868982310964378,0.961558633342099,15
"2019",1.05880524461491,0.861238914810245,0.953944398833144,15
"2020",1.05257513178777,0.853772267918321,0.947172232148008,15
"2021",1.04630877692949,0.846229102686611,0.940294469768009,15
"2022",1.03798440129416,0.834360734938502,0.930154733354545,15
