year,CI_low,CI_high,LPI_final,type
1989,0.950559919927278,1.18041118532538,1.0587938491116,small_value
1990,0.951775268278231,1.18422806438544,1.06117889337598,small_value
1991,0.948481954757499,1.1842642659892,1.05985286525621,small_value
1992,0.946857051797057,1.1872354544288,1.06082517930712,small_value
1993,0.953531412412837,1.20227224487747,1.07131962665424,small_value
1994,0.954377089865224,1.21139953731988,1.07564556554599,small_value
1995,0.948733121085947,1.20992617553058,1.0723294141208,small_value
1996,0.946417768641775,1.21197038679792,1.07260655007422,small_value
1997,0.934880498484295,1.20302402165164,1.06205166900573,small_value
1998,0.92109240840017,1.19256022867413,1.049548667571,small_value
1999,0.907407522201909,1.18296368160219,1.03715659963292,small_value
2000,0.893929392125277,1.17154522194721,1.02459278320334,small_value
2001,0.88918251024272,1.17233078031449,1.02187177363735,small_value
2002,0.885287903057788,1.17445856628853,1.0200288118724,small_value
2003,0.879758908010747,1.17705518167159,1.01808809024641,small_value
2004,0.877732940288232,1.18123547472045,1.01871626313874,small_value
2005,0.878126848977992,1.1849092855594,1.02151154252008,small_value
2006,0.876656205078832,1.18753615437338,1.0216199441403,small_value
2007,0.875112096567017,1.18897034572583,1.02094120415073,small_value
2008,0.868837661590081,1.18335211156915,1.01522993233579,small_value
2009,0.862043304945341,1.17703539883072,1.00805105958008,small_value
2010,0.857117530114125,1.17421368422162,1.00302885001524,small_value
2011,0.857333854407494,1.17713935481102,1.0048826517705,small_value
2012,0.856679813284327,1.17910922701928,1.00576855543666,small_value
2013,0.859447223189482,1.18576274769796,1.01028099925994,small_value
2014,0.863547166643268,1.19480898626729,1.01668962764684,small_value
2015,0.868797393647285,1.20724458436166,1.02426905640383,small_value
2016,0.873462072151908,1.21411600972274,1.02895055657534,small_value
2017,0.870551627368,1.21189916512191,1.02680545353245,small_value
2018,0.871216383636824,1.2155721252805,1.0281430067157,small_value
2019,0.88031844946509,1.2310240366804,1.0406345100777,small_value
2020,0.888228477217656,1.24411086356477,1.05091468181948,small_value
2021,0.886072621024753,1.2439260508815,1.0502641706235,small_value
2022,0.875754938807577,1.23345540269289,1.04001005896473,small_value
1970,1,1,1,na_na_onepercent
1971,0.993576753930352,1.01364066170987,1.00336710832266,na_na_onepercent
1972,0.982068441127696,1.02056722697841,1.00085244703785,na_na_onepercent
1973,0.967311967756024,1.02313749874294,0.994361127609655,na_na_onepercent
1974,0.952802603488671,1.02396476594259,0.98676467239854,na_na_onepercent
1975,0.93871213860853,1.02406914757904,0.978828935207086,na_na_onepercent
1976,0.933556036930962,1.02400146185505,0.976050177244869,na_na_onepercent
1977,0.926918032685009,1.02301480614308,0.972182245453181,na_na_onepercent
1978,0.92428686938658,1.02461059891002,0.971993393620036,na_na_onepercent
1979,0.926007175402949,1.02912111613303,0.975263577086615,na_na_onepercent
1980,0.93059227410117,1.03676212261274,0.981562100614734,na_na_onepercent
1981,0.93412503630752,1.04308877249449,0.986699074649691,na_na_onepercent
1982,0.931905890852876,1.04536553169252,0.986283041402952,na_na_onepercent
1983,0.929028820219971,1.04702848107499,0.985897509989577,na_na_onepercent
1984,0.927884301632073,1.05192215243807,0.987179986222546,na_na_onepercent
